cod_nacion	nro_definitivo	des_nomco	des_dcp	des_dosific	envase	contenido	unidad_contenido	principios_activos	vias_administracion	forma_farmaceutica	atc	laboratorio_titular	sw_base_a_plantas	biosimilar	radiofarmaco
660892	03267008	REYATAZ 300 MG CAPSULAS DURAS	Atazanavir 300 mg cápsula	300 mg	Frasco	30	cápsula	ATAZANAVIR 300 mg	VÍA ORAL	CÁPSULA DURA	J05AE08 - Atazanavir	BRISTOL-MYERS SQUIBB PHARMA EEIG	0	0	0
709978	80654	ATAZANAVIR TEVA 200 MG CAPSULAS DURAS EFG	Atazanavir 200 mg cápsula	200 mg	Blister	60	cápsula	ATAZANAVIR SULFATO 200 mg	VÍA ORAL	CÁPSULA DURA	J05AE08 - Atazanavir	TEVA PHARMA S.L.U.	0	0	0
709982	80655	ATAZANAVIR TEVA 300 MG CAPSULAS DURAS EFG	Atazanavir 300 mg cápsula	300 mg	Blister	30	cápsula	ATAZANAVIR SULFATO 300 mg	VÍA ORAL	CÁPSULA DURA	J05AE08 - Atazanavir	TEVA PHARMA S.L.U.	0	0	0
724296	1161091015	ATAZANAVIR MYLAN 200 MG CAPSULAS DURAS EFG	Atazanavir 200 mg cápsula	200 mg	Blister	60	cápsula	ATAZANAVIR SULFATO 200 mg	VÍA ORAL	CÁPSULA DURA	J05AE08 - Atazanavir	MYLAN PHARMACEUTICALS LIMITED	0	0	0
724297	1161091017	ATAZANAVIR MYLAN 300 MG CAPSULAS DURAS EFG	Atazanavir 300 mg cápsula	300 mg	Blister	30	cápsula	ATAZANAVIR SULFATO 300 mg	VÍA ORAL	CÁPSULA DURA	J05AE08 - Atazanavir	MYLAN PHARMACEUTICALS LIMITED	0	0	0
724300	83676	ATAZANAVIR DR. REDDYS  300 MG CAPSULAS DURAS EFG	Atazanavir 300 mg cápsula	300 mg	Blister	30	cápsula	ATAZANAVIR SULFATO 300 mg	VÍA ORAL	CÁPSULA DURA	J05AE08 - Atazanavir	REDDY PHARMA IBERIA S.A.	0	0	0
724303	83678	ATAZANAVIR DR. REDDYS 200 MG  CAPSULAS DURAS EFG	Atazanavir 200 mg cápsula	200 mg	Blister	60	cápsula	ATAZANAVIR SULFATO 200 mg	VÍA ORAL	CÁPSULA DURA	J05AE08 - Atazanavir	REDDY PHARMA IBERIA S.A.	0	0	0
725354	84029	ATAZANAVIR ACCORD 150 MG CAPSULAS DURAS EFG	Atazanavir 150 mg cápsula	150 mg	Blister	60	cápsula	ATAZANAVIR SULFATO 150 mg	VÍA ORAL	CÁPSULA DURA	J05AE08 - Atazanavir	ACCORD HEALTHCARE S.L.U.	0	0	0
725357	84030	ATAZANAVIR ACCORD 200 MG CAPSULAS DURAS EFG	Atazanavir 200 mg cápsula	200 mg	Blister	60	cápsula	ATAZANAVIR SULFATO 200 mg	VÍA ORAL	CÁPSULA DURA	J05AE08 - Atazanavir	ACCORD HEALTHCARE S.L.U.	0	0	0
725360	84031	ATAZANAVIR ACCORD 300 MG CAPSULAS DURAS EFG	Atazanavir 300 mg cápsula	300 mg	Blister	30	cápsula	ATAZANAVIR SULFATO 300 mg	VÍA ORAL	CÁPSULA DURA	J05AE08 - Atazanavir	ACCORD HEALTHCARE S.L.U.	0	0	0
725459	84067	ATAZANAVIR STADA 200 MG CAPSULAS DURAS EFG	Atazanavir 200 mg cápsula	200 mg	Blister	60	cápsula	ATAZANAVIR SULFATO 200 mg	VÍA ORAL	CÁPSULA DURA	J05AE08 - Atazanavir	LABORATORIO STADA S.L.	0	0	0
725461	84068	ATAZANAVIR STADA 300 MG CAPSULAS DURAS EFG	Atazanavir 300 mg cápsula	300 mg	Blister	30	cápsula	ATAZANAVIR SULFATO 300 mg	VÍA ORAL	CÁPSULA DURA	J05AE08 - Atazanavir	LABORATORIO STADA S.L.	0	0	0
860585	03267004	REYATAZ 150 MG CAPSULAS DURAS	Atazanavir 150 mg cápsula	150 mg	Blister	60	cápsula	ATAZANAVIR 150 mg	VÍA ORAL	CÁPSULA DURA	J05AE08 - Atazanavir	BRISTOL-MYERS SQUIBB PHARMA EEIG	0	0	0
862847	03267006	REYATAZ 200 MG CAPSULAS DURAS	Atazanavir 200 mg cápsula	200 mg	Blister	60	cápsula	ATAZANAVIR 200 mg	VÍA ORAL	CÁPSULA DURA	J05AE08 - Atazanavir	BRISTOL-MYERS SQUIBB PHARMA EEIG	0	0	0
