cod_nacion	nro_definitivo	des_nomco	des_dcp	des_dosific	envase	contenido	unidad_contenido	principios_activos	vias_administracion	forma_farmaceutica	atc	laboratorio_titular	sw_base_a_plantas	biosimilar	radiofarmaco
606282	78084	CITONEUROX 500 MG SOLUCION INYECTABLE EFG	Citicolina 500 mg inyectable 4 ml	500 mg inyectable 4 ml	Ampolla	50	ampolla para inyección	CITICOLINA SODICA 125 mg	VÍA INTRAMUSCULAR|VÍA INTRAVENOSA	SOLUCIÓN INYECTABLE	N06BX06 - Citicolina	OPKO HEALTH SPAIN S.L.	0	0	0
606283	78083	CITONEUROX 1000 MG SOLUCION INYECTABLE EFG	Citicolina 1.000 mg inyectable 4 ml	1.000 mg inyectable 4 ml	Ampolla	50	ampolla para inyección	CITICOLINA SODICA 250 mg	VÍA INTRAMUSCULAR|VÍA INTRAVENOSA	SOLUCIÓN INYECTABLE	N06BX06 - Citicolina	OPKO HEALTH SPAIN S.L.	0	0	0
609651	54390	SOMAZINA 500 mg SOLUCION INYECTABLE	Citicolina 500 mg inyectable 4 ml	500 mg	Ampolla	50	ampolla para inyección	CITICOLINA 125 mg	VÍA INTRAMUSCULAR|VÍA INTRAVENOSA	SOLUCIÓN INYECTABLE	N06BX06 - Citicolina	FERRER INTERNACIONAL S.A.	0	0	0
609669	54389	SOMAZINA 1g SOLUCION INYECTABLE	Citicolina 1.000 mg inyectable 4 ml	1.000 mg	Ampolla	50	ampolla para inyección	CITICOLINA 250 mg	VÍA INTRAMUSCULAR|VÍA INTRAVENOSA	SOLUCIÓN INYECTABLE	N06BX06 - Citicolina	FERRER INTERNACIONAL S.A.	0	0	0
660152	69416	SOMAZINA 1000 mg SOLUCION ORAL	Citicolina 1.000 mg solución/suspensión oral sobre	1.000 mg	Sobre	10	sobre	CITICOLINA SODICA 1000 mg	VÍA ORAL	SOLUCIÓN ORAL	N06BX06 - Citicolina	FERRER INTERNACIONAL S.A.	0	0	0
698451	77679	CITICOLINA KERN PHARMA 100 MG/ML SOLUCION ORAL EFG	Citicolina 100 mg/ml solución/suspensión oral	100 mg/ml	Frasco	30	ml	CITICOLINA SODICA 100 mg	VÍA ORAL	SOLUCIÓN ORAL	N06BX06 - Citicolina	KERN PHARMA S.L.	0	0	0
698455	77682	CITICOLINA FERRER 500 MG SOLUCION INYECTABLE  EFG	Citicolina 500 mg inyectable 4 ml	500 mg inyectable 4 ml	Ampolla	10	ampolla para inyección	CITICOLINA SODICA 125 mg	VÍA INTRAMUSCULAR|VÍA INTRAVENOSA	SOLUCIÓN INYECTABLE Y PARA PERFUSIÓN	N06BX06 - Citicolina	FERRER INTERNACIONAL S.A.	0	0	0
698465	77687	CITICOLINA KERN PHARMA 1000 MG SOLUCION INYECTABLE EFG	Citicolina 1.000 mg inyectable 4 ml	1.000 mg inyectable 4 ml	Ampolla	10	ampolla para inyección	CITICOLINA SODICA 250 mg	VÍA INTRAMUSCULAR|VÍA INTRAVENOSA	SOLUCIÓN INYECTABLE Y PARA PERFUSIÓN	N06BX06 - Citicolina	KERN PHARMA S.L.	0	0	0
698538	77701	CITICOLINA PENSA 100 MG/ML SOLUCION ORAL EFG	Citicolina 100 mg/ml solución/suspensión oral	100 mg/ml	Frasco	30	ml	CITICOLINA SODICA 100 mg	VÍA ORAL	SOLUCIÓN ORAL	N06BX06 - Citicolina	PENSA PHARMA, S.A.U	0	0	0
698543	77704	CITICOLINA PENSA 1000 MG SOLUCION ORAL EFG	Citicolina 1.000 mg solución/suspensión oral sobre	1.000 mg	Sobre	10	sobre	CITICOLINA SODICA 1000 mg	VÍA ORAL	SOLUCIÓN ORAL	N06BX06 - Citicolina	PENSA PHARMA, S.A.U	0	0	0
