cod_nacion	nro_definitivo	des_nomco	des_dcp	des_dosific	envase	contenido	unidad_contenido	principios_activos	vias_administracion	forma_farmaceutica	nro_pactiv	atc	laboratorio_titular	fecha_autorizacion	sw_comercializado	fec_comer	situacion_registro	fecha_situacion_registro	sw_receta	sw_base_a_plantas	biosimilar	radiofarmaco
677657	11676001	JEVTANA 60 MG CONCENTRADO Y DISOLVENTE PARA SOLUCION PARA PERFUSION	Cabazitaxel 60 mg (10 mg/ml) inyectable perfusión 1,5 ml	60 mg inyectable 1,5 ml	Vial	1	vial para inyección	CABAZITAXEL 40 mg	VÍA INTRAVENOSA	CONCENTRADO Y DISOLVENTE PARA SOLUCIÓN PARA PERFUSIÓN	2	L01CD04 - Cabazitaxel	SANOFI WINTHROP INDUSTRIE	2011-04-07	0	2025-11-11	Autorizado	2011-04-07	1	0	0	0
727468	11676001IP	JEVTANA 60 MG CONCENTRADO Y DISOLVENTE PARA SOLUCION PARA PERFUSION	Cabazitaxel 60 mg (10 mg/ml) inyectable perfusión 1,5 ml	60 mg inyectable 1,5 ml	Vial	1	vial para inyección	CABAZITAXEL 40 mg	VÍA INTRAVENOSA	CONCENTRADO Y DISOLVENTE PARA SOLUCIÓN PARA PERFUSIÓN	1	L01CD04 - Cabazitaxel	SANOFI-AVENTIS GROUPE	2019-11-28	0	2022-11-03	Autorizado	2019-11-29	1	0	0	0
728883	85227	CABAZITAXEL DR. REDDYS 60 MG CONCENTRADO Y DISOLVENTE PARA SOLUCION PARA PERFUSION EFG	Cabazitaxel 60 mg (10 mg/ml) inyectable perfusión 1,5 ml	60 mg inyectable 1,5 ml	Vial + Vial	1	vial para inyección	CABAZITAXEL 40 mg	VÍA INTRAVENOSA	CONCENTRADO Y DISOLVENTE PARA SOLUCIÓN PARA PERFUSIÓN	1	L01CD04 - Cabazitaxel	REDDY PHARMA IBERIA S.A.	2020-07-02	1	2021-03-12	Autorizado	2020-07-03	1	0	0	0
729297	1201448001	CABAZITAXEL ACCORD 20 mg/ml CONCENTRADO PARA SOLUCION PARA PERFUSION	Cabazitaxel 60 mg (20 mg/ml) inyectable perfusión 3 ml	60 mg inyectable 3 ml	Vial	1	vial para inyección	CABAZITAXEL 20 mg	VÍA INTRAVENOSA	CONCENTRADO PARA SOLUCIÓN PARA PERFUSIÓN	1	L01CD04 - Cabazitaxel	ACCORD HEALTHCARE S.L.U.	2020-10-20	1	2021-04-12	Autorizado	2020-10-21	1	0	0	0
730217	85714	CABAZITAXEL EVER PHARMA 10 MG/ML CONCENTRADO PARA SOLUCION PARA PERFUSION	Cabazitaxel 60 mg (10 mg/ml) inyectable perfusión 6 ml	60 mg inyectable 6 ml	Vial	1	vial para inyección	CABAZITAXEL 10 mg	VÍA INTRAVENOSA	CONCENTRADO PARA SOLUCIÓN PARA PERFUSIÓN	1	L01CD04 - Cabazitaxel	EVER VALINJECT GMBH	2021-01-20	1	2021-08-12	Autorizado	2021-01-21	1	0	0	0
730792	85908	CABAZITAXEL ZENTIVA 60 MG CONCENTRADO Y DISOLVENTE PARA SOLUCION PARA PERFUSION EFG	Cabazitaxel 60 mg (10 mg/ml) inyectable perfusión 1,5 ml	60 mg inyectable 1,5 ml	Vial + Vial	1	vial para inyección	CABAZITAXEL 40 mg	VÍA INTRAVENOSA	CONCENTRADO Y DISOLVENTE PARA SOLUCIÓN PARA PERFUSIÓN	1	L01CD04 - Cabazitaxel	ZENTIVA K.S.	2021-11-02	1	2023-01-10	Autorizado	2021-11-02	1	0	0	0
731228	86036	CABAZITAXEL SANDOZ 10MG/ML CONCENTRADO PARA SOLUCION PARA PERFUSION	Cabazitaxel 60 mg (10 mg/ml) inyectable perfusión 6 ml	60 mg inyectable 6 ml	Vial	1	vial para inyección	CABAZITAXEL 10 mg	VÍA INTRAVENOSA	CONCENTRADO PARA SOLUCIÓN PARA PERFUSIÓN	1	L01CD04 - Cabazitaxel	SANDOZ FARMACEUTICA S.A.	2021-06-17	0	2026-01-15	Anulado	2026-01-15	1	0	0	0
758091	88000	CABAZITAXEL VIVANTA 60 MG CONCENTRADO Y DISOLVENTE PARA SOLUCION PARA PERFUSION EFG	Cabazitaxel 60 mg (10 mg/ml) inyectable perfusión 1,5 ml	60 mg inyectable 1,5 ml	Vial	1	vial para inyección	CABAZITAXEL 40 mg	VÍA INTRAVENOSA	CONCENTRADO Y DISOLVENTE PARA SOLUCIÓN PARA PERFUSIÓN	1	L01CD04 - Cabazitaxel	VIVANTA GENERICS S.R.O.	2023-01-23	1	2024-09-12	Autorizado	2023-01-23	1	0	0	0
758156	88035	CABAZITAXEL TEVAGEN 10 MG/ML CONCENTRADO PARA SOLUCIÓN PARA PERFUSIÓN	Cabazitaxel 60 mg (10 mg/ml) inyectable perfusión 6 ml	60 mg inyectable 6 ml	Vial	1	vial para inyección	CABAZITAXEL 2-PROPANOL SOLVATO 10 mg	VÍA INTRAVENOSA	CONCENTRADO PARA SOLUCIÓN PARA PERFUSIÓN	1	L01CD04 - Cabazitaxel	TEVA B.V.	2022-08-17	1	2022-11-11	Autorizado	2022-08-18	1	0	0	0
759673	88361	CABAZITAXEL AUROVIT 20 MG/ML CONCENTRADO PARA SOLUCION PARA PERFUSION	Cabazitaxel 60 mg (20 mg/ml) inyectable perfusión 3 ml	60 mg inyectable 3 ml	Vial	1	vial para inyección	CABAZITAXEL 20 mg	VÍA INTRAVENOSA	CONCENTRADO PARA SOLUCIÓN PARA PERFUSIÓN	1	L01CD04 - Cabazitaxel	EUGIA PHARMA (MALTA) LIMITED	2022-12-09	1	2023-01-23	Autorizado	2022-12-10	1	0	0	0
