cod_nacion	nro_definitivo	concept_id	concept_name	concept_code	mapping_type	comment	suggestion	last_updated_date
606333	78267	1716905	moxifloxacin 400 MG Oral Tablet	311787	EXACT			2026-03-12
606404	78546	1716905	moxifloxacin 400 MG Oral Tablet	311787	EXACT			2026-03-12
606445	78761	1716905	moxifloxacin 400 MG Oral Tablet	311787	EXACT			2026-03-12
606520	78972	46287379	moxifloxacin 1.6 MG/ML Injection	1665198	EXACT			2026-03-12
606968	82550	1716905	moxifloxacin 400 MG Oral Tablet	311787	EXACT			2026-03-12
607082	78761	1716905	moxifloxacin 400 MG Oral Tablet	311787	EXACT			2026-03-12
607122	83756	1716905	moxifloxacin 400 MG Oral Tablet	311787	EXACT			2026-03-12
611665	62829	1716905	moxifloxacin 400 MG Oral Tablet	311787	EXACT			2026-03-12
664153	71576	19102773	moxifloxacin 5 MG/ML Ophthalmic Solution [Vigamox]	404473	EXACT			2026-03-12
683123	74573	1716905	moxifloxacin 400 MG Oral Tablet	311787	EXACT			2026-03-12
693809	76633	1716905	moxifloxacin 400 MG Oral Tablet	311787	EXACT			2026-03-12
693810	76633	1716905	moxifloxacin 400 MG Oral Tablet	311787	EXACT			2026-03-12
696733	77126	1716905	moxifloxacin 400 MG Oral Tablet	311787	EXACT			2026-03-12
696734	77126	1716905	moxifloxacin 400 MG Oral Tablet	311787	EXACT			2026-03-12
698041	77514	1716905	moxifloxacin 400 MG Oral Tablet	311787	EXACT			2026-03-12
698417	77662	1716905	moxifloxacin 400 MG Oral Tablet	311787	EXACT			2026-03-12
698418	77662	1716905	moxifloxacin 400 MG Oral Tablet	311787	EXACT			2026-03-12
699995	78062	1716905	moxifloxacin 400 MG Oral Tablet	311787	EXACT			2026-03-12
699996	78062	1716905	moxifloxacin 400 MG Oral Tablet	311787	EXACT			2026-03-12
700780	78267	1716905	moxifloxacin 400 MG Oral Tablet	311787	EXACT			2026-03-12
700783	78267	1716905	moxifloxacin 400 MG Oral Tablet	311787	EXACT			2026-03-12
700981	74573	1716905	moxifloxacin 400 MG Oral Tablet	311787	EXACT			2026-03-12
701015	77514	1716905	moxifloxacin 400 MG Oral Tablet	311787	EXACT			2026-03-12
701020	78336	1716905	moxifloxacin 400 MG Oral Tablet	311787	EXACT			2026-03-12
701036	78338	19102471	moxifloxacin 5 MG/ML Ophthalmic Solution	403818	EXACT			2026-03-12
701741	78546	1716905	moxifloxacin 400 MG Oral Tablet	311787	EXACT			2026-03-12
701742	78546	1716905	moxifloxacin 400 MG Oral Tablet	311787	EXACT			2026-03-12
701890	78593	19102471	moxifloxacin 5 MG/ML Ophthalmic Solution	403818	EXACT			2026-03-12
702094	78683	1716905	moxifloxacin 400 MG Oral Tablet	311787	EXACT			2026-03-12
702097	78683	1716905	moxifloxacin 400 MG Oral Tablet	311787	EXACT			2026-03-12
702299	78758	1716905	moxifloxacin 400 MG Oral Tablet	311787	EXACT			2026-03-12
702300	78758	1716905	moxifloxacin 400 MG Oral Tablet	311787	EXACT			2026-03-12
702348	78761	1716905	moxifloxacin 400 MG Oral Tablet	311787	EXACT			2026-03-12
702349	78761	1716905	moxifloxacin 400 MG Oral Tablet	311787	EXACT			2026-03-12
702665	78830	1716905	moxifloxacin 400 MG Oral Tablet	311787	EXACT			2026-03-12
702666	78830	1716905	moxifloxacin 400 MG Oral Tablet	311787	EXACT			2026-03-12
702996	78336	1716905	moxifloxacin 400 MG Oral Tablet	311787	EXACT			2026-03-12
711481	81027	1716905	moxifloxacin 400 MG Oral Tablet	311787	EXACT			2026-03-12
711482	81027	1716905	moxifloxacin 400 MG Oral Tablet	311787	EXACT			2026-03-12
