cod_nacion	nro_definitivo	des_nomco	des_dcp	des_dosific	envase	contenido	unidad_contenido	principios_activos	vias_administracion	forma_farmaceutica	nro_pactiv	atc	laboratorio_titular	fecha_autorizacion	sw_comercializado	fec_comer	situacion_registro	fecha_situacion_registro	sw_receta	sw_base_a_plantas	biosimilar	radiofarmaco
607118	78750	TEICOPLANINA SALA 200 MG POLVO PARA SOLUCION INYECTABLE Y PARA PERFUSION EFG	Teicoplanina 200 mg inyectable	200 mg	Vial	5	vial para inyección	TEICOPLANINA 200 mg	VÍA INTRAMUSCULAR|VÍA INTRAVENOSA	POLVO PARA SOLUCIÓN INYECTABLE Y PARA PERFUSIÓN	1	J01XA02 - Teicoplanina	LABORATORIO REIG JOFRE, S.A.	2014-05-09	1	2019-05-30	Autorizado	2014-05-09	1	0	0	0
607120	78751	TEICOPLANINA SALA 400 MG POLVO PARA SOLUCION INYECTABLE Y PARA PERFUSION  EFG	Teicoplanina 400 mg inyectable	400 mg	Vial	5	vial para inyección	TEICOPLANINA 400 mg	VÍA INTRAMUSCULAR|VÍA INTRAVENOSA	POLVO PARA SOLUCIÓN INYECTABLE Y PARA PERFUSIÓN	1	J01XA02 - Teicoplanina	LABORATORIO REIG JOFRE, S.A.	2014-05-09	1	2019-05-30	Autorizado	2014-05-09	1	0	0	0
607311	80096	TEICOPLANINA NORIDEM 400 MG POLVO Y DISOLVENTE PARA SOLUCION INYECTABLE Y PARA PERFUSION EFG	Teicoplanina 400 mg inyectable	400 mg	Vial	10	vial para inyección	TEICOPLANINA 400 mg	VÍA INTRAMUSCULAR|VÍA INTRAVENOSA|VÍA ORAL	POLVO Y DISOLVENTE PARA SOLUCIÓN INYECTABLE	1	J01XA02 - Teicoplanina	NORIDEM ENTERPRISES LIMITED	2019-10-15	1	2019-12-12	Autorizado	2019-10-15	1	0	0	0
607312	80097	TEICOPLANINA NORIDEM 200 MG POLVO Y DISOLVENTE PARA SOLUCION INYECTABLE Y PARA PERFUSION EFG	Teicoplanina 200 mg inyectable	200 mg	Vial	10	vial para inyección	TEICOPLANINA 200 mg	VÍA INTRAMUSCULAR|VÍA INTRAVENOSA|VÍA ORAL	POLVO Y DISOLVENTE PARA SOLUCIÓN INYECTABLE	1	J01XA02 - Teicoplanina	NORIDEM ENTERPRISES LIMITED	2019-10-15	1	2019-12-12	Autorizado	2019-10-15	1	0	0	0
701074	78341	TEICOPLANINA ACCORDPHARMA 200 MG POLVO Y DISOLVENTE PARA SOLUCION INYECTABLE Y PARA PERFUSION EFG	Teicoplanina 200 mg inyectable	200 mg	Vial	1	vial para inyección	TEICOPLANINA 200 mg	VÍA INTRAMUSCULAR|VÍA INTRAVENOSA	POLVO Y DISOLVENTE PARA SOLUCIÓN INYECTABLE	1	J01XA02 - Teicoplanina	ACCORD HEALTHCARE S.L.U.	2013-12-26	0	2021-03-12	Suspenso	2021-04-23	1	0	0	0
701075	78342	TEICOPLANINA ACCORDPHARMA 400 MG  POLVO Y DISOLVENTE PARA SOLUCION INYECTABLE Y PARA PERFUSION EFG	Teicoplanina 400 mg inyectable	400 mg	Vial	1	vial para inyección	TEICOPLANINA 400 mg	VÍA INTRAMUSCULAR|VÍA INTRAVENOSA	POLVO Y DISOLVENTE PARA SOLUCIÓN INYECTABLE	1	J01XA02 - Teicoplanina	ACCORD HEALTHCARE S.L.U.	2013-12-26	0	2021-06-23	Suspenso	2023-01-23	1	0	0	0
701925	78613	TEICOPLANINA ACCORD 200 MG POLVO PARA SOLUCION INYECTABLE Y PARA PERFUSION  EFG	Teicoplanina 200 mg inyectable	200 mg	Vial	1	vial para inyección		VÍA INTRAMUSCULAR|VÍA INTRAVENOSA	POLVO PARA SOLUCIÓN INYECTABLE Y PARA PERFUSIÓN	1	J01XA02 - Teicoplanina	ACCORD HEALTHCARE S.L.U.	2014-04-01	1	2026-03-06	Autorizado	2014-04-01	1	0	0	0
701926	78614	TEICOPLANINA ACCORD 400 MG POLVO PARA SOLUCION INYECTABLE Y PARA PERFUSION  EFG	Teicoplanina 400 mg inyectable	400 mg	Vial	1	vial para inyección		VÍA INTRAMUSCULAR|VÍA INTRAVENOSA	POLVO PARA SOLUCIÓN INYECTABLE Y PARA PERFUSIÓN	1	J01XA02 - Teicoplanina	ACCORD HEALTHCARE S.L.U.	2014-04-01	1	2026-02-13	Autorizado	2014-04-01	1	0	0	0
702287	78750	TEICOPLANINA SALA 200 MG POLVO PARA SOLUCION INYECTABLE Y PARA PERFUSION EFG	Teicoplanina 200 mg inyectable	200 mg	Vial	1	vial para inyección	TEICOPLANINA 200 mg	VÍA INTRAMUSCULAR|VÍA INTRAVENOSA	POLVO PARA SOLUCIÓN INYECTABLE Y PARA PERFUSIÓN	1	J01XA02 - Teicoplanina	LABORATORIO REIG JOFRE, S.A.	2014-05-09	0	2022-10-27	Autorizado	2014-05-09	1	0	0	0
702288	78751	TEICOPLANINA SALA 400 MG POLVO PARA SOLUCION INYECTABLE Y PARA PERFUSION  EFG	Teicoplanina 400 mg inyectable	400 mg	Vial	1	vial para inyección	TEICOPLANINA 400 mg	VÍA INTRAMUSCULAR|VÍA INTRAVENOSA	POLVO PARA SOLUCIÓN INYECTABLE Y PARA PERFUSIÓN	1	J01XA02 - Teicoplanina	LABORATORIO REIG JOFRE, S.A.	2014-05-09	0	2022-10-27	Autorizado	2014-05-09	1	0	0	0
