cod_nacion	nro_definitivo	des_nomco	des_dcp	des_dosific	envase	contenido	unidad_contenido	principios_activos	vias_administracion	forma_farmaceutica	nro_pactiv	atc	laboratorio_titular	fecha_autorizacion	sw_comercializado	fec_comer	situacion_registro	fecha_situacion_registro	sw_receta	sw_base_a_plantas	biosimilar	radiofarmaco
652237	63625	ETOPÓSIDO SANDOZ 20 MG/ML CONCENTRADO PARA SOLUCIÓN PARA PERFUSIÓN EFG	Etopósido 20 mg/ml inyectable perfusión 10 ml	20 mg/ml inyectable 10 ml	Vial	1	vial para inyección	ETOPOSIDO 20 mg	VÍA INTRAVENOSA	CONCENTRADO PARA SOLUCIÓN PARA PERFUSIÓN	1	L01CB01 - Etoposido	SANDOZ FARMACEUTICA S.A.	2001-01-26	1	2011-10-24	Autorizado	2001-01-26	1	0	0	0
661950	62169	ETOPOSIDO TEVAGEN 20mg/ml CONCENTRADO PARA SOLUCION PARA PERFUSION	Etopósido 20 mg/ml inyectable perfusión 5 ml	20 mg/ml inyectable 5 ml	Vial	1	vial para inyección	ETOPOSIDO 20 mg	VÍA INTRAVENOSA	CONCENTRADO PARA SOLUCIÓN PARA PERFUSIÓN	1	L01CB01 - Etoposido	TEVA PHARMA S.L.U.	1999-02-01	1	2011-11-21	Autorizado	1999-02-01	1	0	0	0
678607	63625	ETOPÓSIDO SANDOZ 20 MG/ML CONCENTRADO PARA SOLUCIÓN PARA PERFUSIÓN EFG	Etopósido 20 mg/ml inyectable perfusión 5 ml	20 mg/ml inyectable 5 ml	Vial	1	vial para inyección	ETOPOSIDO 20 mg	VÍA INTRAVENOSA	CONCENTRADO PARA SOLUCIÓN PARA PERFUSIÓN	1	L01CB01 - Etoposido	SANDOZ FARMACEUTICA S.A.	2001-01-26	1	2011-10-24	Autorizado	2001-01-26	1	0	0	0
704626	79326	ETOPOSIDO ACCORD 20 MG/ML CONCENTRADO PARA SOLUCION PARA PERFUSION EFG	Etopósido 20 mg/ml inyectable perfusión 5 ml	20 mg/ml inyectable 5 ml	Vial	1	vial para inyección	ETOPOSIDO 20 mg	VÍA INTRAVENOSA	CONCENTRADO PARA SOLUCIÓN PARA PERFUSIÓN	1	L01CB01 - Etoposido	ACCORD HEALTHCARE S.L.U.	2014-12-19	1	2015-08-26	Autorizado	2014-12-19	1	0	0	0
722397	64713	ETOPOSIDO TEVA 20 mg/ml CONCENTRADO PARA SOLUCION PARA PERFUSION	Etopósido 20 mg/ml inyectable perfusión 5 ml	20 mg/ml inyectable 5 ml	Vial	1	vial para inyección	ETOPOSIDO 20 mg	VÍA INTRAVENOSA	CONCENTRADO PARA SOLUCIÓN PARA PERFUSIÓN	1	L01CB01 - Etoposido	TEVA PHARMA S.L.U.	2002-04-24	1	2011-10-24	Autorizado	2002-04-24	1	0	0	0
724248	79326	ETOPOSIDO ACCORD 20 MG/ML CONCENTRADO PARA SOLUCION PARA PERFUSION EFG	Etopósido 20 mg/ml inyectable perfusión 10 ml	20 mg/ml inyectable 10 ml	Vial	1	vial para inyección	ETOPOSIDO 20 mg	VÍA INTRAVENOSA	CONCENTRADO PARA SOLUCIÓN PARA PERFUSIÓN	1	L01CB01 - Etoposido	ACCORD HEALTHCARE S.L.U.	2014-12-19	0	2024-04-10	Autorizado	2014-12-19	1	0	0	0
732200	86400	ETOPOSIDO HIKMA 20 MG/ML CONCENTRADO PARA SOLUCION PARA PERFUSION EFG	Etopósido 20 mg/ml inyectable perfusión 5 ml	20 mg/ml inyectable 5 ml	Vial	1	vial para inyección	ETOPOSIDO 20 mg	VÍA INTRAVENOSA	CONCENTRADO PARA SOLUCIÓN PARA PERFUSIÓN	1	L01CB01 - Etoposido	HIKMA FARMACEUTICA (PORTUGAL) S.A.	2021-11-18	0	2025-10-03	Autorizado	2021-11-19	1	0	0	0
732201	86400	ETOPOSIDO HIKMA 20 MG/ML CONCENTRADO PARA SOLUCION PARA PERFUSION EFG	Etopósido 20 mg/ml inyectable perfusión 10 ml	20 mg/ml inyectable 10 ml	Vial	1	vial para inyección	ETOPOSIDO 20 mg	VÍA INTRAVENOSA	CONCENTRADO PARA SOLUCIÓN PARA PERFUSIÓN	1	L01CB01 - Etoposido	HIKMA FARMACEUTICA (PORTUGAL) S.A.	2021-11-18	1	2024-08-20	Autorizado	2021-11-19	1	0	0	0
957449	56108	VEPESID 100 mg CAPSULAS BLANDAS	Etopósido 100 mg cápsula	100 mg	Blister	10	cápsula	ETOPOSIDO 100 mg	VÍA ORAL	CÁPSULA BLANDA	1	L01CB01 - Etoposido	CHEPLAPHARM ARZNEIMITTEL GMBH	1984-07-01	1	2011-10-18	Autorizado	1984-07-01	1	0	0	0
962712	56488	VEPESID 50 mg CAPSULAS BLANDAS	Etopósido 50 mg cápsula	50 mg	Blister	20	cápsula	ETOPOSIDO 50 mg	VÍA ORAL	CÁPSULA BLANDA	1	L01CB01 - Etoposido	CHEPLAPHARM ARZNEIMITTEL GMBH	1986-04-01	1	2011-10-18	Autorizado	1986-04-01	1	0	0	0
