cod_nacion	nro_definitivo	concept_id	concept_name	concept_code	mapping_type	comment	suggestion	last_updated_date
705654	107391009	43532853	lenalidomide 20 MG Oral Capsule [Revlimid]	1429367	EXACT			2025-12-04
724110	83620	19122475	lenalidomide 5 MG Oral Capsule	602912				
724116	83621	19122473	lenalidomide 10 MG Oral Capsule	602910				
724122	83622	19026980	lenalidomide 15 MG Oral Capsule	643712				
724127	83623	43532833	lenalidomide 20 MG Oral Capsule	1428947				
724132	83624	19124417	lenalidomide 25 MG Oral Capsule	643720				
725467	84069	19122473	lenalidomide 10 MG Oral Capsule	602910				
725471	84070	19026980	lenalidomide 15 MG Oral Capsule	643712				
725476	84071	19122475	lenalidomide 5 MG Oral Capsule	602912				
725478	84072	43532833	lenalidomide 20 MG Oral Capsule	1428947				
725480	84073	19124417	lenalidomide 25 MG Oral Capsule	643720				
729268	85421	19122473	lenalidomide 10 MG Oral Capsule	602910				
729270	85422	19026980	lenalidomide 15 MG Oral Capsule	643712				
729272	85424	43532833	lenalidomide 20 MG Oral Capsule	1428947				
729273	85425	19124417	lenalidomide 25 MG Oral Capsule	643720				
729274	85426	19122475	lenalidomide 5 MG Oral Capsule	602912				
729315	85435	19122473	lenalidomide 10 MG Oral Capsule	602910				
729317	85436	19026980	lenalidomide 15 MG Oral Capsule	643712				
729318	85437	42707968	lenalidomide 2.5 MG Oral Capsule	1242231				
729321	85438	43532833	lenalidomide 20 MG Oral Capsule	1428947				
729323	85439	19124417	lenalidomide 25 MG Oral Capsule	643720				
729325	85440	19122475	lenalidomide 5 MG Oral Capsule	602912				
729326	85441	21164052	lenalidomide 7.5 MG Oral Capsule	OMOP261819				
729342	85449	19124417	lenalidomide 25 MG Oral Capsule	643720				
729344	85450	19122475	lenalidomide 5 MG Oral Capsule	602912				
729345	85451	21164052	lenalidomide 7.5 MG Oral Capsule	OMOP261819				
729346	85452	19122473	lenalidomide 10 MG Oral Capsule	602910				
729347	85453	19026980	lenalidomide 15 MG Oral Capsule	643712				
729348	85454	42707968	lenalidomide 2.5 MG Oral Capsule	1242231				
729349	85455	43532833	lenalidomide 20 MG Oral Capsule	1428947				
729823	1181316004	19122475	lenalidomide 5 MG Oral Capsule	602912	EXACT			2025-12-04
729826	1181316007	19122473	lenalidomide 10 MG Oral Capsule	602910	EXACT			2025-12-04
729827	1181316009	19026980	lenalidomide 15 MG Oral Capsule	643712	EXACT			2025-12-04
729828	1181316010	43532833	lenalidomide 20 MG Oral Capsule	1428947	EXACT			2025-12-04
729829	1181316011	19124417	lenalidomide 25 MG Oral Capsule	643720	EXACT			2025-12-04
729842	85593	19122473	lenalidomide 10 MG Oral Capsule	602910				
729844	85594	19026980	lenalidomide 15 MG Oral Capsule	643712				
729846	85595	43532833	lenalidomide 20 MG Oral Capsule	1428947				
729847	85596	19124417	lenalidomide 25 MG Oral Capsule	643720				
729850	85597	19122475	lenalidomide 5 MG Oral Capsule	602912				
730503	1201519003	19122475	lenalidomide 5 MG Oral Capsule	602912	EXACT			2025-12-04
730506	1201519007	19122473	lenalidomide 10 MG Oral Capsule	602910	EXACT			2025-12-04
730509	1201519009	19026980	lenalidomide 15 MG Oral Capsule	643712	EXACT			2025-12-04
730511	1201519011	43532833	lenalidomide 20 MG Oral Capsule	1428947	EXACT			2025-12-04
730513	1201519013	19124417	lenalidomide 25 MG Oral Capsule	643720	EXACT			2025-12-04
731072	1201490005	19122475	lenalidomide 5 MG Oral Capsule	602912	EXACT			2025-12-04
731073	1201490010	19122473	lenalidomide 10 MG Oral Capsule	602910	EXACT			2025-12-04
731074	1201490015	43532833	lenalidomide 20 MG Oral Capsule	1428947	EXACT			2025-12-04
731076	1201490018	19124417	lenalidomide 25 MG Oral Capsule	643720	EXACT			2025-12-04
731077	1201490012	19026980	lenalidomide 15 MG Oral Capsule	643712	EXACT			2025-12-04
731304	86075	19122475	lenalidomide 5 MG Oral Capsule	602912				
731306	86076	19122473	lenalidomide 10 MG Oral Capsule	602910				
731308	86077	19026980	lenalidomide 15 MG Oral Capsule	643712				
731312	86079	43532833	lenalidomide 20 MG Oral Capsule	1428947				
731314	86080	19124417	lenalidomide 25 MG Oral Capsule	643720				
731689	86237	19122475	lenalidomide 5 MG Oral Capsule	602912				
731694	86238	19122473	lenalidomide 10 MG Oral Capsule	602910				
731700	86239	19026980	lenalidomide 15 MG Oral Capsule	643712				
731704	86240	43532833	lenalidomide 20 MG Oral Capsule	1428947				
731709	86241	19124417	lenalidomide 25 MG Oral Capsule	643720				
732030	86326	19122473	lenalidomide 10 MG Oral Capsule	602910				
732031	86327	19026980	lenalidomide 15 MG Oral Capsule	643712				
732033	86328	43532833	lenalidomide 20 MG Oral Capsule	1428947				
732034	86329	19124417	lenalidomide 25 MG Oral Capsule	643720				
732052	86339	19122475	lenalidomide 5 MG Oral Capsule	602912				
754990	87785	19122475	lenalidomide 5 MG Oral Capsule	602912				
754991	87786	43532833	lenalidomide 20 MG Oral Capsule	1428947				
754995	87788	19122473	lenalidomide 10 MG Oral Capsule	602910				
754997	87789	19026980	lenalidomide 15 MG Oral Capsule	643712				
754998	87790	19124417	lenalidomide 25 MG Oral Capsule	643720				
