cod_nacion	nro_definitivo	concept_id	concept_name	concept_code	mapping_type	comment	suggestion	last_updated_date
602390	68352	40227193	mepivacaine hydrochloride 30 MG/ML [Scandonest]	1012761	EXACT			
602910	69201	40227165	mepivacaine hydrochloride 10 MG/ML Injectable Solution	1012722	EXACT			
602913	69203	40227177	mepivacaine hydrochloride 20 MG/ML Injectable Solution	1012737				
602914	69203	40227177	mepivacaine hydrochloride 20 MG/ML Injectable Solution	1012737				
603031	37725	40227177	mepivacaine hydrochloride 20 MG/ML Injectable Solution	1012737				
606032	39732	40227193	mepivacaine hydrochloride 30 MG/ML [Scandonest]	1012761	EXACT			
607379	37726	40227165	mepivacaine hydrochloride 10 MG/ML Injectable Solution	1012722	EXACT			
607380	37725	40227177	mepivacaine hydrochloride 20 MG/ML Injectable Solution	1012737				
607381	37725	40227177	mepivacaine hydrochloride 20 MG/ML Injectable Solution	1012737				
607394	85607	40227193	mepivacaine hydrochloride 30 MG/ML [Scandonest]	1012761	EXACT			
615807	37726	40227165	mepivacaine hydrochloride 10 MG/ML Injectable Solution	1012722	EXACT			
615823	37725	40227177	mepivacaine hydrochloride 20 MG/ML Injectable Solution	1012737				
615914	39732	40227193	mepivacaine hydrochloride 30 MG/ML [Scandonest]	1012761	EXACT			
619973	62604	40227165	mepivacaine hydrochloride 10 MG/ML Injectable Solution	1012722	EXACT			
620195	62606	40227177	mepivacaine hydrochloride 20 MG/ML Injectable Solution	1012737				
620203	62606	40227177	mepivacaine hydrochloride 20 MG/ML Injectable Solution	1012737				
659534	69095	40227193	mepivacaine hydrochloride 30 MG/ML [Scandonest]	1012761	EXACT			
661353	37725	40227177	mepivacaine hydrochloride 20 MG/ML Injectable Solution	1012737				
715833	68352	40227193	mepivacaine hydrochloride 30 MG/ML [Scandonest]	1012761	EXACT			
821728	37726	40227165	mepivacaine hydrochloride 10 MG/ML Injectable Solution	1012722	EXACT			
821744	37725	40227177	mepivacaine hydrochloride 20 MG/ML Injectable Solution	1012737				
