cod_nacion	nro_definitivo	concept_id	concept_name	concept_code	mapping_type	comment	suggestion	last_updated_date
602390	68352	36893644	Mepivacaine 30 MG/ML Injection	OMOP994483	BROAD		1.8 ML mepivacaine hydrochloride 30 MG/ML Injection	2026-03-30
602910	69201	40227165	mepivacaine hydrochloride 10 MG/ML Injectable Solution	1012722	EXACT			2026-03-13
602913	69203	40227177	mepivacaine hydrochloride 20 MG/ML Injectable Solution	1012737	EXACT			2026-03-13
602914	69203	40227177	mepivacaine hydrochloride 20 MG/ML Injectable Solution	1012737	EXACT			2026-03-13
603031	37725	40227177	mepivacaine hydrochloride 20 MG/ML Injectable Solution	1012737	EXACT			2026-03-13
606032	39732	46276172	1.8 ML mepivacaine hydrochloride 30 MG/ML Cartridge	1661488	EXACT			2026-03-30
607379	37726	40227165	mepivacaine hydrochloride 10 MG/ML Injectable Solution	1012722	EXACT			2026-03-13
607380	37725	40227177	mepivacaine hydrochloride 20 MG/ML Injectable Solution	1012737	EXACT			2026-03-13
607381	37725	40227177	mepivacaine hydrochloride 20 MG/ML Injectable Solution	1012737	EXACT			2026-03-13
607394	85607	42873657	1.7 ML mepivacaine hydrochloride 30 MG/ML Cartridge	1305263	EXACT			2026-03-30
615807	37726	40227165	mepivacaine hydrochloride 10 MG/ML Injectable Solution	1012722	EXACT			2026-03-13
615823	37725	40227177	mepivacaine hydrochloride 20 MG/ML Injectable Solution	1012737	EXACT			2026-03-13
615914	39732	46276172	1.8 ML mepivacaine hydrochloride 30 MG/ML Cartridge	1661488	EXACT			2026-03-30
619973	62604	40227165	mepivacaine hydrochloride 10 MG/ML Injectable Solution	1012722	EXACT			2026-03-13
620195	62606	40227177	mepivacaine hydrochloride 20 MG/ML Injectable Solution	1012737	EXACT			2026-03-13
620203	62606	40227177	mepivacaine hydrochloride 20 MG/ML Injectable Solution	1012737	EXACT			2026-03-13
659534	69095	40227188	1.7 ML mepivacaine hydrochloride 30 MG/ML Cartridge [Scandonest]	1012762	EXACT			2026-03-30
661353	37725	40227177	mepivacaine hydrochloride 20 MG/ML Injectable Solution	1012737	EXACT			2026-03-13
715833	68352	36893644	Mepivacaine 30 MG/ML Injection	OMOP994483	BROAD		1.8 ML mepivacaine hydrochloride 30 MG/ML Injection	2026-03-30
821728	37726	40227165	mepivacaine hydrochloride 10 MG/ML Injectable Solution	1012722	EXACT			2026-03-13
821744	37725	40227177	mepivacaine hydrochloride 20 MG/ML Injectable Solution	1012737	EXACT			2026-03-13
645655	60605	46276172	1.8 ML mepivacaine hydrochloride 30 MG/ML Cartridge	1661488	EXACT			2026-03-13
687863	60605	46276172	1.8 ML mepivacaine hydrochloride 30 MG/ML Cartridge	1661488	EXACT			2026-03-13
