cod_nacion	nro_definitivo	des_nomco	des_dcp	des_dosific	envase	contenido	unidad_contenido	principios_activos	vias_administracion	forma_farmaceutica	atc	laboratorio_titular	sw_base_a_plantas	sw_generico	biosimilar	radiofarmaco
650822	66613	PROSPANTUS JARABE	Extracto seco de hoja de Hedera helix (hiedra) 7 mg/ml solución/suspensión oral	7 mg/ml	Frasco	100	ml	HEDERA HELIX L. EXTRACTO SECO 7 mg	VÍA ORAL	JARABE	R05CA12 - Hederae helicis folium	ENGELHARD ARZNEIMITTEL GMBH & CO. KG	0	0	0	0
696644	66613	PROSPANTUS JARABE	Extracto seco de hoja de Hedera helix (hiedra) 7 mg/ml solución/suspensión oral	7 mg/ml	Frasco	200	ml	HEDERA HELIX L. EXTRACTO SECO 7 mg	VÍA ORAL	JARABE	R05CA12 - Hederae helicis folium	ENGELHARD ARZNEIMITTEL GMBH & CO. KG	0	0	0	0
697794	77456	PROSPANTUS JARABE EN SOBRES	Extracto seco de hoja de Hedera helix (hiedra) 35 mg solución/suspensión oral sobre	35 mg	Sobre	21	sobre	YEDRA 35 mg	VÍA ORAL	JARABE	R05CA12 - Hederae helicis folium	ENGELHARD ARZNEIMITTEL GMBH & CO. KG	0	0	0	0
710629	80816	BISOLVON EXPECTORANTE JARABE	Extracto seco de hoja de Hedera helix (hiedra) 8,5 mg/ml solución/suspensión oral	8,25 mg/ml	Frasco	100	ml	HEDERA HELIX L. EXTRACTO SECO 8,25 mg	VÍA ORAL	JARABE	R05CA12 - Hederae helicis folium	SANOFI AVENTIS S.A.	0	0	0	0
711642	81073	HEDETUS 5,4 MG/ML JARABE	Extracto seco de hoja de Hedera helix (hiedra) 5,4 mg/ml solución/suspensión oral	5,4 mg/ml	Frasco	200	ml	HEDERA HELIX L. EXTRACTO SECO 5,4 mg	VÍA ORAL	JARABE	R05CA12 - Hederae helicis folium	CONFORMA NV	1	0	0	0
715307	81847	CINFAHELIX JARABE	Extracto seco de hoja de Hedera helix (hiedra) 8,25 mg/ml solución/suspensión oral	8,25 mg/ml	Frasco	100	ml	HEDERA HELIX L. EXTRACTO SECO 8,25 mg	VÍA ORAL	JARABE	R05CA12 - Hederae helicis folium	LABORATORIOS CINFA S.A.	0	0	0	0
718787	82374	TUSCLIN  JARABE	Extracto seco de hoja de Hedera helix (hiedra) 7 mg/ml solución/suspensión oral	7 mg/ml	Frasco	100	ml	HEDERA HELIX L. EXTRACTO SECO 7 mg	VÍA ORAL	JARABE	R05CA12 - Hederae helicis folium	LABORATORIOS ERN S.A.	0	0	0	0
718849	82406	TUSHEEL PELICULAS BUCODISPERSABLES	Extracto seco de hoja de Hedera helix (hiedra) 16 mg comprimido bucodispersable/liotab	16 mg	Sobre	30	comprimido	HEDERA HELIX L. EXTRACTO SECO 16 mg	VÍA ORAL	PELICULA BUCODISPERSABLE	R05CA12 - Hederae helicis folium	LABORATORIOS HEEL ESPANA SAU	0	0	0	0
721190	81847	CINFAHELIX JARABE	Extracto seco de hoja de Hedera helix (hiedra) 8,25 mg/ml solución/suspensión oral	8,25 mg/ml	Frasco	200	ml	HEDERA HELIX L. EXTRACTO SECO 8,25 mg	VÍA ORAL	JARABE	R05CA12 - Hederae helicis folium	LABORATORIOS CINFA S.A.	0	0	0	0
726376	84351	HERBION PASTILLAS PARA CHUPAR	Extracto seco de hoja de Hedera helix (hiedra) 35 mg comprimido bucal/para chupar	35 mg	Blister	16	pastilla	HIEDRA EXTRACTO ETANOLICO BLANDO 30% (V/V) 35 mg	VÍA ORAL	PASTILLA PARA CHUPAR	R05CA12 - Hederae helicis folium	KRKA D.D. NOVO MESTO	0	0	0	0
727265	84605	TOSIVY JARABE	Extracto seco de hoja de Hedera helix (hiedra) 7,4 mg/ml solución/suspensión oral	7,4 mg/ml	Frasco	100	ml	HEDERA HELIX L. EXTRACTO SECO 7,4 mg	VÍA ORAL	JARABE	R05CA12 - Hederae helicis folium	LABORATORIOS LORIEN S.L.	1	0	0	0
727615	84734	JUANOLTUS EXPECTORANTE JARABE	Extracto seco de hoja de Hedera helix (hiedra) 7 mg/ml solución/suspensión oral	7 mg/ml	Frasco	100	ml	HEDERA HELIX L. EXTRACTO SECO 7 mg	VÍA ORAL	JARABE	R05CA12 - Hederae helicis folium	ANGELINI PHARMA ESPANA S.L.	0	0	0	0
727841	84827	PROSPANTUS PASTILLAS DE GOMA	Extracto seco de hoja de Hedera helix (hiedra) 26 mg comprimido	26 mg	Tiras	20	comprimido	HEDERA HELIX L. EXTRACTO SECO 26 mg	VÍA ORAL	PASTILLA DE GOMA	R05CA12 - Hederae helicis folium	ENGELHARD ARZNEIMITTEL GMBH & CO. KG	0	0	0	0
763735	89150	TOSHEDRA 7 MG/ML JARABE	Extracto seco de hoja de Hedera helix (hiedra) 7 mg/ml solución/suspensión oral	7 mg/ml	Frasco	150	ml	HEDERA HELIX L., HOJA, EXTRACTO SECO (DER 4–8:1) DISOLVENTE DE EXTRACCION: ETANOL 30%(M/M) 7 mg	VÍA ORAL	JARABE	R05CA12 - Hederae helicis folium	KERN PHARMA S.L.	0	0	0	0
763737	89151	TOSHEDRA 35 MG JARABE EN SOBRES	Extracto seco de hoja de Hedera helix (hiedra) 35 mg solución/suspensión oral sobre	35 mg	Sobre	20	sobre	HEDERA HELIX L., HOJA, EXTRACTO SECO (DER 4–8:1) DISOLVENTE DE EXTRACCION: ETANOL 30%(M/M) 35 mg	VÍA ORAL	JARABE EN SOBRE	R05CA12 - Hederae helicis folium	KERN PHARMA S.L.	0	0	0	0
